id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
207,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,421.43,64,1000000,4,oltp_write_only,0.6
208,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,425.87,64,1000000,4,oltp_write_only,0.6
209,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,468.43,64,1000000,4,oltp_write_only,0.6
210,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,427.15,64,1000000,4,oltp_write_only,0.6
211,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,433.31,64,1000000,4,oltp_write_only,0.6
212,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,429.58,64,1000000,4,oltp_write_only,0.6
213,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,440.88,64,1000000,4,oltp_write_only,0.6
214,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,457.02,64,1000000,4,oltp_write_only,0.6
215,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,436.89,64,1000000,4,oltp_write_only,0.6
216,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,521.92,64,1000000,4,oltp_write_only,0.6
217,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,547.71,64,1000000,4,oltp_write_only,0.6
218,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,550.55,64,1000000,4,oltp_write_only,0.6
219,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,361.36,64,1000000,4,oltp_write_only,0.6
220,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,431.77,64,1000000,4,oltp_write_only,0.6
221,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,435.87,64,1000000,4,oltp_write_only,0.6
222,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,432.21,64,1000000,4,oltp_write_only,0.6
223,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,439.18,64,1000000,4,oltp_write_only,0.6
224,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,407.57,64,1000000,4,oltp_write_only,0.6
225,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,398.49,64,1000000,4,oltp_write_only,0.6
226,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,403.86,64,1000000,4,oltp_write_only,0.6
227,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,265.90,64,1000000,4,oltp_write_only,0.6
