innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,binlog_row_image,binlog_transaction_compression,tps,workload,num_table,table_size,num_client,slave_parallel_workers,rpl_semi_sync_slave_enabled,slave_parallel_type
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,193.48,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,ON,189.32,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,192.23,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,ON,193.31,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,192.40,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,ON,192.37,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,193.67,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,ON,189.53,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,1,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,193.17,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.63,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,1,3,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.96,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,192.53,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,193.95,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,3,1,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.71,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,1,2,0,ON,1,1024,1,25,100,48MB,4000,full,OFF,195.82,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.04,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,1,2,2,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.58,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
